industry_index,industry_id,industry_name,source_comparability,evidence_tier,stability_threshold_l1,max_lomo_l1_2025_q2,max_lomo_l1_2026_q2,max_lomo_l1_across_required_periods,passes_stability_rule,reason
1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,excluded,0.1,0.051617101771200206,0.04417917349422832,0.051617101771200206,,source-universe definitions are excluded from the primary OEWS-CPS comparison
2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,primary_stable,0.1,0.07097920537308554,0.09624552461216886,0.09624552461216886,True,passes the versioned leave-one-month-out stability rule in every required period
3,construction,Construction,primary,primary_stable,0.1,0.015127871474756645,0.01463355803091431,0.015127871474756645,True,passes the versioned leave-one-month-out stability rule in every required period
4,manufacturing,Manufacturing,primary,primary_stable,0.1,0.022493611945825564,0.0133234934116988,0.022493611945825564,True,passes the versioned leave-one-month-out stability rule in every required period
5,wholesale-trade,Wholesale Trade,primary,primary_stable,0.1,0.04331714359931562,0.045126124955857876,0.045126124955857876,True,passes the versioned leave-one-month-out stability rule in every required period
6,retail-trade,Retail Trade,primary,primary_stable,0.1,0.012666128284590027,0.01480325263386973,0.01480325263386973,True,passes the versioned leave-one-month-out stability rule in every required period
7,transportation-and-warehousing,Transportation and Warehousing,primary,primary_stable,0.1,0.01441363761324013,0.019717324644963126,0.019717324644963126,True,passes the versioned leave-one-month-out stability rule in every required period
8,utilities,Utilities,primary,primary_stable,0.1,0.06095092425837385,0.07349444291533794,0.07349444291533794,True,passes the versioned leave-one-month-out stability rule in every required period
9,information,Information,primary,primary_stable,0.1,0.04557251077659504,0.0412963732922908,0.04557251077659504,True,passes the versioned leave-one-month-out stability rule in every required period
10,finance-and-insurance,Finance and Insurance,primary,primary_stable,0.1,0.016300413567258636,0.025960041129277755,0.025960041129277755,True,passes the versioned leave-one-month-out stability rule in every required period
11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,primary_stable,0.1,0.034034610756362486,0.0356470136491595,0.0356470136491595,True,passes the versioned leave-one-month-out stability rule in every required period
12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,primary_stable,0.1,0.019651802981286107,0.018752448235024123,0.019651802981286107,True,passes the versioned leave-one-month-out stability rule in every required period
13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,sensitivity_unstable,0.1,0.12892317338798942,0.14218063065667338,0.14218063065667338,False,fails the versioned leave-one-month-out stability rule in at least one required period
14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,primary_stable,0.1,0.02195926223516668,0.029770097739432337,0.029770097739432337,True,passes the versioned leave-one-month-out stability rule in every required period
15,educational-services,Educational Services,primary,primary_stable,0.1,0.01663581396667788,0.017091424965664362,0.017091424965664362,True,passes the versioned leave-one-month-out stability rule in every required period
16,health-care-and-social-assistance,Health Care and Social Assistance,primary,primary_stable,0.1,0.012354133052320656,0.017662850260485294,0.017662850260485294,True,passes the versioned leave-one-month-out stability rule in every required period
17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,primary_stable,0.1,0.03551884505102709,0.042538162570763385,0.042538162570763385,True,passes the versioned leave-one-month-out stability rule in every required period
18,accommodation-and-food-services,Accommodation and Food Services,primary,primary_stable,0.1,0.021519166778860885,0.02291969843872312,0.02291969843872312,True,passes the versioned leave-one-month-out stability rule in every required period
19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,limited,0.1,0.02355365577203949,0.02783262205431299,0.02783262205431299,,source-universe comparability is limited under the OEWS crosswalk
20,public-administration,Public Administration,excluded,excluded,0.1,0.03608590902847846,0.023510050483642422,0.03608590902847846,,source-universe definitions are excluded from the primary OEWS-CPS comparison
